Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,24,Yes,DSL,No,Yes,No,Month-to-month,Yes,Credit card,94.37,2232.51,0
Male,0,Yes,No,64,Yes,No,No,No,No,Two year,Yes,Electronic check,34.72,2261.04,0
Male,0,Yes,No,71,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,104.36,7370.25,1
Male,0,No,Yes,24,Yes,DSL,Yes,No,No,One year,No,Electronic check,31.45,735.47,0
Female,0,Yes,No,27,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,21.59,615.87,0
Female,0,Yes,No,37,Yes,Fiber optic,No,Yes,No,Two year,No,Credit card,58.29,2144.7,0
Male,0,No,No,39,Yes,Fiber optic,Yes,Yes,No,Two year,Yes,Credit card,117.9,4578.35,0
Male,0,Yes,Yes,63,Yes,Fiber optic,Yes,Yes,No,One year,Yes,Bank transfer,29.25,1827.35,0
Female,0,No,No,26,Yes,No,No,No,No,Month-to-month,No,Credit card,28.38,703.54,0
Male,0,Yes,No,65,No,Fiber optic,No,Yes,Yes,Two year,No,Mailed check,94.62,6172.77,1
Male,0,Yes,Yes,4,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer,49.84,201.17,0
Male,0,No,No,29,Yes,Fiber optic,No,No,No,One year,No,Electronic check,91.16,2575.83,0
Female,0,Yes,No,1,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,38.4,14.03,0
Female,0,Yes,Yes,50,Yes,No,No,No,No,Two year,Yes,Mailed check,64.93,3228.15,0
Female,0,No,No,11,Yes,DSL,Yes,No,No,Month-to-month,Yes,Bank transfer,45.06,476.96,1
Male,0,No,No,59,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer,64.06,3809.49,1
Male,0,No,No,62,Yes,Fiber optic,No,No,No,One year,No,Electronic check,96.45,5944.79,1
Female,0,Yes,Yes,36,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,95.73,3581.47,0
Female,1,Yes,Yes,56,Yes,Fiber optic,Yes,No,No,One year,No,Bank transfer,70.61,4023.44,0
Female,0,No,Yes,21,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,112.69,2435.53,0
Female,0,No,No,13,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,44.91,532.15,1
Male,0,No,No,9,Yes,No,No,Yes,Yes,One year,No,Bank transfer,42.51,281.06,0
Female,0,No,Yes,11,Yes,DSL,Yes,No,No,Two year,No,Bank transfer,80.61,869.76,0
Male,0,No,Yes,70,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.37,5710.58,0
Female,1,No,No,1,Yes,Fiber optic,Yes,Yes,No,One year,Yes,Credit card,22.75,14.65,0
Male,0,Yes,No,70,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Mailed check,79.99,5572.81,1
Female,0,No,No,56,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,56.19,3059.59,0
Female,0,Yes,No,31,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card,94.24,2887.83,0
Female,0,Yes,No,37,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,100.43,3703.76,0
Female,0,No,Yes,47,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,74.32,3468.27,1
Male,0,No,No,47,Yes,DSL,No,No,No,Two year,Yes,Electronic check,18.17,828.94,0
Female,0,Yes,No,69,Yes,Fiber optic,Yes,Yes,No,One year,Yes,Electronic check,82.91,5680.88,0
Male,0,Yes,No,58,No,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,94.39,5557.36,1
Male,0,Yes,No,36,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,43.4,1597.82,1
Male,0,No,Yes,32,Yes,DSL,Yes,No,No,Month-to-month,No,Credit card,65.39,2140.28,1
Male,0,No,Yes,64,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,116.5,7469.64,0
Female,0,Yes,No,71,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,48.41,3370.36,0
Male,0,Yes,Yes,42,Yes,No,No,No,No,Month-to-month,Yes,Credit card,40.76,1748.84,0
Male,0,No,Yes,48,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.51,1963.89,0
Male,0,Yes,Yes,30,No,Fiber optic,No,No,Yes,Month-to-month,No,Credit card,75.0,2324.7,1
Female,0,No,Yes,21,No,Fiber optic,No,Yes,No,One year,Yes,Electronic check,114.88,2443.66,0
Female,0,No,No,60,Yes,Fiber optic,Yes,No,Yes,Two year,No,Mailed check,80.09,4805.45,0
Female,0,Yes,Yes,13,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,48.94,636.13,0
Female,0,No,No,1,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer,83.13,109.07,0
Male,0,Yes,No,65,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card,81.73,5230.4,0
Male,0,Yes,No,33,Yes,Fiber optic,No,No,No,Two year,No,Mailed check,78.89,2635.3,0
Female,0,No,Yes,38,Yes,DSL,Yes,Yes,No,Two year,No,Electronic check,34.26,1277.6,0
Male,0,Yes,No,25,No,Fiber optic,Yes,Yes,No,One year,No,Credit card,82.73,2178.72,0
Male,1,No,Yes,26,Yes,No,Yes,No,Yes,Two year,Yes,Credit card,61.88,1593.86,0
Male,0,No,No,59,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,19.9,1183.83,1
Female,0,Yes,No,33,Yes,Fiber optic,No,No,No,Two year,Yes,Electronic check,73.06,2418.22,0
Female,0,Yes,No,41,No,No,Yes,No,No,Month-to-month,No,Electronic check,118.91,4840.7,0
Male,1,Yes,No,30,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,53.67,1632.97,0
Female,0,Yes,No,57,Yes,DSL,Yes,No,Yes,One year,Yes,Bank transfer,116.49,6657.03,0
Female,0,Yes,No,49,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card,27.81,1413.83,0
Female,0,Yes,No,48,Yes,Fiber optic,No,Yes,Yes,One year,No,Credit card,92.71,4486.1,0
Female,0,Yes,No,49,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,29.66,1462.7,1
Female,0,No,No,47,Yes,DSL,No,Yes,No,One year,Yes,Credit card,45.9,2116.36,0
Male,1,No,No,56,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,76.23,4229.39,1
Female,0,No,No,65,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,78.46,5182.75,0
Male,0,Yes,No,12,Yes,Fiber optic,No,Yes,No,Two year,Yes,Bank transfer,97.07,1169.2,0
Male,0,Yes,No,69,Yes,No,Yes,No,No,Two year,Yes,Mailed check,80.76,5676.27,0
Female,0,No,No,6,Yes,Fiber optic,No,No,No,Two year,No,Electronic check,78.55,430.39,0
Male,0,No,Yes,65,Yes,No,Yes,No,No,One year,Yes,Bank transfer,111.06,7328.59,0
Male,0,Yes,No,25,No,DSL,No,No,No,One year,Yes,Mailed check,64.12,1555.82,0
Male,0,No,Yes,1,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,40.98,19.06,0
Female,0,No,No,32,Yes,DSL,Yes,No,No,Month-to-month,No,Bank transfer,34.5,1126.11,0
Female,0,No,Yes,3,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,58.8,226.28,0
Male,0,Yes,Yes,49,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,90.7,4478.2,1
Female,1,No,No,19,Yes,Fiber optic,No,No,Yes,Two year,No,Mailed check,22.34,328.8,0
Female,0,No,No,60,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,31.16,1840.98,1
Female,1,No,Yes,29,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,28.82,778.5,0
Female,0,No,No,50,Yes,DSL,Yes,No,No,Month-to-month,No,Mailed check,77.7,3815.93,0
Male,0,No,Yes,2,Yes,Fiber optic,Yes,No,No,One year,No,Electronic check,42.77,84.73,1
Male,0,No,Yes,56,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,34.96,1852.18,0
Female,0,Yes,No,17,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Electronic check,78.46,1383.82,1
Female,0,No,No,60,Yes,No,Yes,No,No,Two year,Yes,Electronic check,95.65,5776.24,0
Male,0,No,Yes,36,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,51.88,1948.65,1
Male,0,No,No,61,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,76.98,4642.45,0
Female,0,Yes,Yes,17,Yes,DSL,Yes,No,No,Month-to-month,No,Electronic check,28.01,427.76,1
Male,1,Yes,No,49,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer,113.39,5608.72,0
Female,1,No,No,60,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.36,3197.99,1
Female,0,No,No,20,No,DSL,No,No,No,One year,Yes,Credit card,119.75,2462.43,0
Male,0,No,No,50,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,117.82,5948.71,0
Male,0,No,No,3,Yes,No,No,No,No,One year,No,Credit card,97.44,303.28,0
Female,0,No,No,43,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,20.05,839.15,1
Female,0,No,Yes,57,No,DSL,No,No,No,Two year,No,Credit card,73.43,4222.26,0
Male,0,No,No,50,Yes,Fiber optic,Yes,Yes,No,One year,Yes,Electronic check,26.86,1320.91,0
Female,0,No,No,68,Yes,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,109.3,7437.66,0
Male,1,No,Yes,50,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Credit card,98.54,4907.91,1
Female,0,Yes,Yes,37,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,117.18,4348.99,1
Male,0,Yes,No,46,Yes,DSL,No,No,Yes,Two year,Yes,Electronic check,80.06,3744.86,0
Male,0,No,No,42,Yes,No,No,Yes,No,One year,No,Mailed check,71.26,2975.45,0
Male,0,Yes,Yes,15,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Electronic check,70.94,1039.03,0
Female,0,Yes,Yes,33,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,57.42,1889.55,0
Female,1,Yes,No,11,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,65.81,664.96,1
Male,0,Yes,No,20,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,82.81,1689.41,0
Female,1,Yes,No,24,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,113.16,2721.67,0
Male,0,Yes,No,64,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,78.78,5040.15,0
Male,0,No,Yes,65,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,105.43,6869.38,0
Female,0,No,No,17,Yes,Fiber optic,No,No,No,One year,Yes,Mailed check,106.0,1728.3,1
Female,0,Yes,No,61,Yes,DSL,No,Yes,No,Month-to-month,Yes,Credit card,70.92,4396.15,1
Male,1,Yes,No,15,Yes,Fiber optic,Yes,Yes,No,Two year,Yes,Credit card,53.44,775.62,0
Female,1,No,Yes,51,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,83.24,4226.5,1
Female,0,Yes,No,27,Yes,No,Yes,No,No,Two year,Yes,Bank transfer,63.48,1757.21,0
Male,0,No,No,61,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Credit card,26.31,1635.47,0
Male,0,No,No,58,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Mailed check,56.54,3379.26,0
Female,1,No,No,31,Yes,No,No,No,Yes,One year,Yes,Credit card,119.4,3653.14,0
Male,0,Yes,Yes,12,Yes,DSL,Yes,No,No,Two year,Yes,Credit card,22.95,228.52,0
Male,0,No,No,46,Yes,Fiber optic,No,No,No,One year,Yes,Electronic check,89.06,4036.97,0
Female,0,Yes,No,31,No,DSL,No,Yes,Yes,Month-to-month,Yes,Credit card,103.8,3224.48,0
Male,0,No,No,32,Yes,Fiber optic,No,No,Yes,One year,No,Mailed check,84.17,2679.91,1
Male,0,No,No,32,No,Fiber optic,No,No,Yes,One year,Yes,Credit card,76.11,2400.76,0
Female,0,Yes,No,53,Yes,DSL,No,Yes,No,Two year,Yes,Mailed check,90.17,4775.73,0
Female,1,Yes,No,61,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,61.79,3717.58,0
Male,0,Yes,No,46,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,27.32,1334.02,1
Male,0,No,Yes,7,Yes,DSL,No,Yes,Yes,One year,No,Bank transfer,116.16,778.16,0
Female,1,Yes,No,4,Yes,DSL,No,No,No,Two year,Yes,Electronic check,62.09,219.8,0
Female,0,No,No,52,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,85.87,4345.89,1
Female,1,Yes,No,31,No,DSL,No,No,No,Month-to-month,No,Mailed check,72.19,2155.61,1
Female,0,No,No,36,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Bank transfer,23.58,819.48,1
Male,0,No,No,54,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,115.18,6204.45,0
Female,1,No,No,54,No,DSL,Yes,No,No,Month-to-month,Yes,Credit card,98.84,5373.33,1
Female,0,No,No,17,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,33.21,489.79,0
Male,0,Yes,No,30,Yes,Fiber optic,No,No,No,Two year,No,Electronic check,118.13,3566.51,0
Female,0,Yes,No,22,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer,93.16,2080.73,1
Male,0,No,Yes,43,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.18,2879.59,0
Female,0,Yes,Yes,27,Yes,No,No,No,No,One year,Yes,Mailed check,80.36,2221.5,0
Female,0,Yes,No,37,Yes,Fiber optic,No,No,No,Two year,No,Bank transfer,28.89,1010.83,0
Female,1,Yes,Yes,46,Yes,DSL,No,No,No,Two year,No,Bank transfer,75.16,3484.42,0
Male,0,Yes,Yes,35,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Electronic check,25.51,981.11,0
Male,0,Yes,No,4,Yes,Fiber optic,No,Yes,No,Two year,Yes,Bank transfer,73.58,364.33,1
Female,0,No,No,26,No,DSL,No,No,No,Month-to-month,Yes,Electronic check,74.37,2028.22,1
Male,0,Yes,No,19,No,Fiber optic,Yes,No,Yes,One year,Yes,Credit card,107.19,2048.66,1
Male,0,No,No,45,Yes,Fiber optic,Yes,No,No,One year,No,Bank transfer,91.96,4108.61,0
Male,1,Yes,No,26,Yes,DSL,No,Yes,Yes,Month-to-month,No,Bank transfer,43.45,1003.18,0
Male,0,No,No,22,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,108.62,2327.5,0
Male,0,Yes,Yes,58,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,76.47,4408.99,0
Male,0,No,No,63,Yes,Fiber optic,No,No,Yes,Two year,No,Bank transfer,79.85,5013.29,0
Female,0,No,No,28,No,Fiber optic,No,Yes,No,Month-to-month,No,Mailed check,35.24,947.13,0
Female,0,Yes,No,65,Yes,Fiber optic,No,Yes,No,One year,No,Bank transfer,105.49,6873.83,0
Male,0,No,No,44,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,112.96,4979.98,1
Female,0,No,No,43,Yes,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer,97.05,4175.2,0
Female,0,No,Yes,37,Yes,Fiber optic,No,No,No,Two year,No,Bank transfer,113.96,4255.78,0
Female,0,No,No,66,Yes,Fiber optic,No,No,No,One year,No,Credit card,48.83,3199.3,0
Female,0,Yes,No,17,Yes,No,No,No,No,Two year,No,Mailed check,105.83,1853.91,0
Male,0,No,No,40,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,67.87,2654.61,0
Female,0,Yes,Yes,38,No,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Credit card,34.72,1304.18,0
Female,0,Yes,No,61,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,86.22,5275.35,1
Male,0,No,No,9,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,87.78,694.09,1
Male,0,Yes,Yes,61,Yes,DSL,Yes,No,No,Month-to-month,Yes,Electronic check,47.27,2858.28,0
Female,0,No,No,16,Yes,Fiber optic,Yes,No,Yes,One year,No,Credit card,20.8,368.39,0
Female,0,No,No,2,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,38.38,55.39,0
Female,1,No,No,43,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,58.78,2436.41,1
Female,0,No,No,42,No,DSL,No,No,No,Month-to-month,No,Electronic check,35.09,1429.41,1
Female,0,Yes,No,57,Yes,Fiber optic,Yes,No,No,One year,No,Credit card,37.79,2086.77,0
Female,1,Yes,No,67,Yes,DSL,No,Yes,No,One year,No,Mailed check,57.92,3905.45,0
Male,0,Yes,No,30,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,116.1,3488.86,1
Female,0,Yes,Yes,13,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Mailed check,95.95,1169.28,0
Female,0,Yes,No,19,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.61,879.69,1
Male,0,Yes,Yes,7,Yes,Fiber optic,No,No,No,Two year,Yes,Electronic check,115.06,769.18,0
Male,0,No,Yes,9,Yes,DSL,No,Yes,No,Two year,Yes,Bank transfer,83.86,756.3,0
Male,1,No,No,54,Yes,DSL,Yes,No,Yes,One year,No,Bank transfer,64.46,3447.25,0
Male,0,Yes,No,61,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,65.77,4029.48,0
Female,0,No,No,2,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.9,135.58,1
Female,0,Yes,No,50,Yes,Fiber optic,No,No,Yes,One year,Yes,Electronic check,41.77,2115.12,1
Female,1,Yes,No,31,Yes,DSL,No,Yes,No,Two year,Yes,Credit card,57.44,1709.97,0
Female,0,No,Yes,33,No,Fiber optic,No,Yes,No,Two year,No,Electronic check,71.85,2357.26,0
Female,0,No,No,11,Yes,Fiber optic,No,No,Yes,Two year,No,Electronic check,71.86,844.23,0
Female,0,No,No,33,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card,95.7,3124.51,1
Male,0,Yes,No,7,Yes,Fiber optic,No,No,No,Two year,Yes,Credit card,54.6,341.52,0
Female,1,No,No,31,Yes,No,No,Yes,No,One year,Yes,Electronic check,91.11,2799.99,1
Male,1,No,No,48,Yes,Fiber optic,No,Yes,Yes,Two year,No,Bank transfer,76.97,3668.89,0
Male,0,No,No,47,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,116.11,5463.24,1
Female,1,No,Yes,53,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,57.3,3007.82,1
Male,0,No,No,19,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,109.92,1987.49,0
Female,1,No,No,6,Yes,DSL,Yes,No,No,Month-to-month,Yes,Credit card,101.71,669.53,0
Male,0,No,No,49,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,83.04,4094.28,1
Female,0,No,Yes,50,Yes,DSL,Yes,No,Yes,Two year,Yes,Electronic check,84.76,4245.45,0
Male,0,No,No,12,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Bank transfer,26.63,314.85,0
Female,0,Yes,Yes,23,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,114.92,2627.02,0
Female,0,No,No,54,Yes,DSL,Yes,No,No,Month-to-month,No,Bank transfer,28.91,1521.14,0
Female,0,Yes,No,69,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,75.45,5112.17,0
Female,0,Yes,Yes,59,Yes,DSL,No,No,No,Two year,Yes,Electronic check,51.67,3129.9,0
Female,0,No,No,36,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,61.84,2227.28,1
Male,0,No,Yes,3,Yes,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,80.24,160.16,1
Male,0,No,No,58,Yes,Fiber optic,No,No,No,Two year,Yes,Credit card,110.7,6369.29,0
Male,1,Yes,No,55,Yes,No,No,No,Yes,Two year,No,Mailed check,64.67,3572.07,0
Female,0,No,Yes,57,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,6782.98,0
Male,0,Yes,Yes,17,Yes,DSL,No,No,No,One year,No,Electronic check,78.47,1296.61,0
Female,0,No,No,39,Yes,No,No,Yes,Yes,One year,No,Electronic check,34.38,1286.93,0
Female,1,No,Yes,68,Yes,DSL,No,Yes,No,One year,Yes,Electronic check,37.38,2513.23,0
Male,0,No,Yes,55,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer,91.04,4910.73,0
Male,0,No,No,45,Yes,DSL,No,No,No,Two year,Yes,Bank transfer,23.14,1017.52,0
Female,0,No,No,1,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,66.99,43.74,0
Male,1,No,No,21,Yes,DSL,No,No,Yes,Month-to-month,No,Electronic check,33.12,771.85,1
Female,0,Yes,Yes,21,Yes,DSL,No,No,Yes,Month-to-month,No,Mailed check,62.19,1283.46,1
Female,0,Yes,Yes,52,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card,94.49,4926.12,0
Female,0,No,Yes,43,Yes,DSL,No,No,No,Two year,Yes,Mailed check,64.8,2866.31,1
Female,1,No,Yes,52,Yes,Fiber optic,No,No,No,One year,No,Mailed check,34.67,1749.48,0
Female,0,Yes,No,67,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,43.7,2896.67,0
Male,0,No,No,44,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,55.49,2414.59,1
Male,1,Yes,Yes,32,Yes,DSL,No,No,Yes,Month-to-month,Yes,Mailed check,25.1,719.47,0
Female,0,No,No,10,No,DSL,Yes,No,Yes,Two year,No,Credit card,77.6,762.93,0
Female,0,No,No,64,Yes,No,No,No,No,One year,No,Mailed check,79.97,5176.25,0
Male,0,No,No,69,Yes,DSL,Yes,No,No,One year,No,Bank transfer,24.34,1721.74,0
Male,0,No,No,68,Yes,No,No,No,Yes,One year,Yes,Bank transfer,59.04,4073.83,0
Female,0,Yes,No,28,Yes,DSL,No,No,No,One year,No,Mailed check,60.23,1654.75,0
Male,0,Yes,Yes,53,Yes,No,No,No,No,One year,No,Credit card,52.05,2702.19,0
Female,0,No,Yes,51,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card,74.89,3932.19,0
Male,0,No,No,53,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer,53.29,2835.11,0
Female,1,Yes,Yes,4,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,60.47,161.26,1
Male,0,No,No,17,Yes,Fiber optic,No,No,No,One year,No,Credit card,99.35,1816.97,1
Female,1,Yes,No,67,Yes,DSL,Yes,No,No,Two year,Yes,Credit card,34.54,2309.68,0
Male,0,No,No,47,Yes,Fiber optic,No,No,Yes,Two year,Yes,Credit card,81.15,3666.68,0
Male,1,No,No,56,Yes,Fiber optic,Yes,No,No,Two year,Yes,Credit card,69.57,3968.65,0
Female,0,Yes,No,23,No,DSL,No,No,No,Two year,No,Mailed check,49.12,1014.24,0
Male,0,Yes,No,18,No,DSL,Yes,No,No,Month-to-month,Yes,Credit card,92.21,1674.2,0
Female,0,No,No,1,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,74.22,116.34,1
Male,1,No,Yes,35,Yes,DSL,No,Yes,No,One year,Yes,Bank transfer,66.69,2368.22,0
Female,0,No,No,64,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,86.1,5588.2,1
Male,0,No,Yes,58,Yes,DSL,Yes,No,No,Two year,Yes,Credit card,99.83,5841.0,0
Female,0,No,No,59,Yes,Fiber optic,No,No,No,One year,Yes,Mailed check,117.21,7008.22,1
Male,0,No,No,1,Yes,DSL,Yes,No,No,One year,No,Electronic check,82.19,77.54,0
Female,0,No,No,3,Yes,Fiber optic,No,Yes,Yes,Two year,No,Electronic check,107.19,300.89,0
Male,0,No,No,67,Yes,DSL,No,No,Yes,Month-to-month,No,Mailed check,18.11,1196.04,0
Female,0,Yes,No,37,Yes,DSL,No,No,No,One year,Yes,Electronic check,72.08,2735.64,0
Female,0,Yes,No,29,Yes,DSL,No,Yes,Yes,One year,No,Electronic check,39.89,1124.84,0
Female,0,No,Yes,33,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,27.61,953.5,1
Male,0,Yes,No,61,Yes,DSL,No,No,No,Month-to-month,Yes,Electronic check,72.26,4364.86,1
Female,0,No,No,4,Yes,Fiber optic,No,No,Yes,Two year,No,Mailed check,94.18,334.63,0
Male,0,No,No,14,Yes,DSL,No,Yes,Yes,One year,No,Credit card,60.05,899.91,0
Female,0,No,No,33,Yes,DSL,No,No,No,Two year,Yes,Credit card,86.35,2871.38,0
Male,0,Yes,Yes,22,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card,67.95,1386.92,0
Female,0,Yes,No,48,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Bank transfer,62.58,2961.15,0
Male,0,Yes,No,3,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,47.61,14.29,1
Male,0,Yes,No,23,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,57.02,1292.68,0
Female,0,Yes,Yes,68,Yes,Fiber optic,Yes,No,No,Two year,No,Mailed check,53.68,3636.57,0
Male,0,No,No,21,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card,83.91,1738.41,0
Male,0,No,No,43,Yes,Fiber optic,No,Yes,No,Two year,Yes,Mailed check,29.83,1343.01,1
Female,0,No,Yes,26,Yes,Fiber optic,No,No,No,Two year,No,Mailed check,27.45,734.35,0
Male,0,No,No,41,Yes,No,No,No,No,Two year,Yes,Electronic check,85.32,3621.41,0
Male,0,Yes,No,38,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,73.72,2828.07,1
Male,0,No,No,11,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,61.88,708.31,0
Female,0,No,No,29,Yes,DSL,No,Yes,No,Month-to-month,Yes,Bank transfer,33.55,986.55,0
Male,0,Yes,No,60,Yes,DSL,No,No,Yes,Month-to-month,No,Bank transfer,59.92,3581.75,0
Female,1,No,No,67,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,98.55,6570.37,0
Male,0,Yes,No,65,No,DSL,Yes,No,No,Two year,Yes,Mailed check,108.74,7056.35,0
Male,0,No,Yes,61,Yes,Fiber optic,No,No,No,Month-to-month,No,Electronic check,89.66,5459.81,1
Male,0,No,Yes,19,Yes,DSL,No,Yes,Yes,Month-to-month,No,Electronic check,24.11,453.38,0
Female,0,Yes,No,46,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,86.38,4005.28,0
Male,0,No,No,49,Yes,DSL,No,No,Yes,Month-to-month,No,Credit card,42.58,2101.42,0
Male,0,No,Yes,22,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,50.16,1077.67,0
Female,0,No,No,57,Yes,DSL,No,No,No,Two year,Yes,Credit card,37.98,2127.95,0
Male,0,Yes,No,14,Yes,No,No,No,Yes,One year,Yes,Electronic check,97.13,1371.03,1
Female,0,No,Yes,44,Yes,Fiber optic,No,No,No,Two year,No,Bank transfer,84.16,3656.7,0
